Date: 24/10/2022
Note: List made by Christoph Becker
################################################################################
Abbreviation, Concept
FBS, False Base Stations
N32, Interconnect Security 
SS7, Signalling System No 7
SS7, Signalling System 7
rogue eNBs, 
, rogue base stations
PFS, Perfect Forward Secrecy
, Forward Secrecy
Diffie-Hellman, 
SEPP, Security Edge Protection Proxy
SBA, Service Based Architecture
IMSI, International mobile subscriber identity
IMSI catchers, International mobile subscriber identity catchers
stingrays, LTE-based IMSI catcher
, SMS interception
, location tracking
, permanent identifiers
